suite,variant,mode,seed,noise_model,topology,radius,noise_bound,alpha,beta,gain_ratio,gain_threshold,gain_condition_passed,epsilon,bound_applicable,inside_bound,final_formation_error,final_localization_error,formation_entry_time,localization_entry_time,time_inside_localization_threshold_after_entry,tail_formation_error_span,tail_localization_error_span
paper-suite,gaussian_similarity,single_integrator,1,gaussian,paper_fig1_reconstructed,2.0,0.2,100.0,0.05,2000.0,1730.3999999999999,True,0.1,False,,0.21975210732933018,0.025172537833336117,0.0285,39.9295,20.071,0.16628497687897625,0.03927572617817987
paper-suite,bounded_theorem,single_integrator,1,bounded,paper_fig1_reconstructed,2.0,0.2,100.0,0.05,2000.0,1730.3999999999999,True,0.1,True,True,0.275381529151567,0.02819648421304502,0.0285,39.918,20.0825,0.18950966676165631,0.03737937151409838
