suite,variant,mode,seed,noise_model,topology,radius,noise_bound,alpha,beta,gain_ratio,gain_threshold,gain_condition_passed,epsilon,bound_applicable,inside_bound,final_formation_error,final_localization_error,formation_entry_time,localization_entry_time,time_inside_localization_threshold_after_entry,tail_formation_error_span,tail_localization_error_span
seed-sweep,seed_1,single_integrator,1,gaussian,paper_fig1_reconstructed,2.0,0.2,100.0,0.05,2000.0,1730.3999999999999,True,0.1,False,,4.569358284156605,4.345735154742109,,,0.0,1.5059246809176647,0.07621880521897317
seed-sweep,seed_2,single_integrator,2,gaussian,paper_fig1_reconstructed,2.0,0.2,100.0,0.05,2000.0,1730.3999999999999,True,0.1,False,,4.5669438749975475,4.345872747311928,,,0.0,1.5091044195732937,0.07612184085272045
